Day,Open,High,Low,Close,Volume,Market Cap
06/05/2023,23.0783,23.2481,21.8938,22.2616,1225276234,8874529248
05/05/2023,22.0577,23.216,21.7618,23.0489,964574120,8825593239
04/05/2023,22.4677,22.5075,21.8766,22.0378,1176226270,8721137864
03/05/2023,22.6362,22.6362,21.4797,22.4603,941259708.5,8590470133
02/05/2023,22.2244,22.7147,21.884,22.6437,910159366.1,8736816974
01/05/2023,23.0103,23.0103,21.8334,22.2273,1235083081,8748242453
30/04/2023,23.4768,24.0829,23.1106,23.2338,1006693037,9239362666
29/04/2023,23.5478,23.8885,23.2676,23.4339,1321671976,9210499755
28/04/2023,22.5595,23.6229,22.3041,23.543,1210753410,8959506212
27/04/2023,21.4691,22.677,21.2382,22.576,1789773285,8649262905
26/04/2023,22.208,23.0758,20.8724,21.4554,1190070420,8734663292
25/04/2023,21.7176,22.2262,20.9657,22.2262,929536171.8,8375474366
24/04/2023,21.7752,22.1334,21.3311,21.7227,993471512.6,8504548339
23/04/2023,22.182,22.4115,21.303,21.7931,742176133.5,8587950399
22/04/2023,21.4843,22.2861,21.1131,22.193,981929255.6,8493721291
21/04/2023,22.3472,22.3933,21.348,21.4913,1359523009,8636217991
20/04/2023,22.8567,23.1137,21.7659,22.364,1687513961,8859560446
19/04/2023,25.0053,25.0053,22.5573,22.8519,1549538543,9297800037
18/04/2023,24.7161,25.5288,24.169,25.0295,1422300225,9767299294
17/04/2023,25.56635969,25.98736128,24.48792958,24.6878,1903805293,9861892029
16/04/2023,24.31243011,25.63563949,23.99405925,25.53918223,911922091.2,9627469081
15/04/2023,24.8628,24.8628,24.05895873,24.3102898,1420707801,9552263499
14/04/2023,24.5604,25.5108,23.9126,24.8952,2243558797,9720054115
13/04/2023,23.8712,25.1104,23.6928,24.5322,2934123909,9540306647
12/04/2023,23.0974,24.3669,22.4294,23.88428536,3510522846,9088578668
11/04/2023,21.3453,23.73141521,20.8666,23.1222,1617369269,8705969022
10/04/2023,20.93359417,21.3841,20.25894995,21.2955,428085045.7,7992721845
09/04/2023,20.6375,20.9921,20.0702,20.9252,468527891.3,7906864345
08/04/2023,21.0608,21.06803901,20.3822,20.6292,410478822.6,8033335733
07/04/2023,21.1157,21.1157,20.4909,21.0747,514236763.8,8019112515
06/04/2023,21.3089,21.3089,20.6565,21.0923,661240466.4,8083131223
05/04/2023,21.2744,21.4296,20.8682,21.2949,764765480.9,8181148724
04/04/2023,20.71429134,21.3599,20.3682,21.2638,949884930.7,8062493862
03/04/2023,20.9697,21.16121088,20.12441757,20.68910885,753052956.5,7917618884
02/04/2023,21.51513072,21.51513072,20.7188,20.9748,539287848.3,8099098742
01/04/2023,21.47798266,21.6182779,21.011,21.52206328,772430116.7,8152238537
31/03/2023,20.78327179,21.71762137,20.24996604,21.47070054,911432060,7987577772
30/03/2023,21.3709,21.5698,20.4198,20.79065957,1072284918,8007238058
29/03/2023,20.714,21.5888,20.4814,21.3858,1027782383,8131253674
28/03/2023,20.2014,20.9794,19.70394404,20.7555,950551179.8,7760688125
27/03/2023,21.38105631,21.38105631,19.8054,20.2348,751430384.9,7866155501
26/03/2023,20.787,21.46139663,20.3672,21.39179405,632781115.7,8073085038
25/03/2023,20.89891039,21.1173,20.4473,20.7842,1064333241,7975836620
24/03/2023,22.3916,22.3916,20.5554,20.89865901,1300655965,8276619030
23/03/2023,21.6480613,22.73294519,21.2668,22.4137,1862058792,8379229011
22/03/2023,22.73400631,23.1665,21.3193,21.6749,1770198517,8574978257
21/03/2023,22.2916,23.2006,21.6696,22.78016623,2376374393,8633775343
20/03/2023,22.0666,23.9652783,21.70861962,22.2409,2284453871,8735052231
19/03/2023,21.37835979,22.54492534,21.36389048,22.0188,1403766039,8398123730
18/03/2023,21.7849,22.874,21.32667174,21.32667174,2074446431,8514386352
17/03/2023,19.8964,21.748,19.4887,21.748,1314968730,7793243054
16/03/2023,19.44560421,20.0209,19.015,19.9198,1711492794,7497934895
15/03/2023,21.0663,21.50196291,18.89789605,19.38798029,2247447024,7803795837
14/03/2023,20.5769,22.09675544,19.9252,21.0583,2277934838,7977975344
13/03/2023,20.44499078,21.37825983,19.0417,20.51415531,2416132317,7689026770
12/03/2023,18.2488,20.5292,17.9108,20.48708845,1342141569,7068636145
11/03/2023,18.29505295,18.8249,17.13386375,18.3039,2282160782,6855723541
10/03/2023,17.4618,18.37967068,16.1516,18.27755797,2379335940,6619139220
09/03/2023,18.5680789,18.7555,17.0513,17.4488,1636156077,7003318198
08/03/2023,20.4055,20.4055,18.38216928,18.55853809,1319031533,7420007648
07/03/2023,20.894,20.92149673,19.91542392,20.4165,864032782.7,7588069511
06/03/2023,21.2675,21.3256,20.7391,20.9029,774828359.1,7611050299
05/03/2023,21.32992708,21.6378,20.98476509,21.2979,854647605.1,7764058783
04/03/2023,21.6527,21.6527,20.7078,21.28912177,754502557.9,7723312431
03/03/2023,22.273,22.273,20.6342,21.62591255,1161321377,7750107404
02/03/2023,22.7388,22.7388,21.8903,22.254,890019401.6,8043160886
01/03/2023,22.12206993,22.8981,21.74866822,22.7414,996761750.9,8184473235
28/02/2023,22.9049505,22.9049505,22.06362209,22.16245166,1062164786,8161222458
27/02/2023,23.4933,23.519,22.53653598,22.89920495,1091434378,8340887249
26/02/2023,22.5833,23.68157815,22.2431,23.4488,1183555579,8320597160
25/02/2023,23.2264,23.3308,21.7356,22.5976,1389561404,8237903409
24/02/2023,24.0338,24.1124575,22.71065625,23.213,1364568906,8564362966
23/02/2023,25.2875,25.2875,23.7624,24.0399,1887951841,8788677651
22/02/2023,25.7049,25.7049,24.10547316,25.3164,6593381975,8977462181
21/02/2023,26.59734018,26.59734018,25.2249,25.6755,3315049220,9358180092
20/02/2023,25.2952,27.163,24.32968192,26.4088,4393232993,9543000280
19/02/2023,23.8794,25.9265,23.2948,25.257,1654592703,8807610589
18/02/2023,23.4891,24.07421468,23.1208,23.8827,1396183828,8547440388
17/02/2023,22.5276,23.7771,22.1762,23.5116,1988074468,8319273858
16/02/2023,24.10963455,24.15,22.5016,22.5096,2319295661,8595791587
15/02/2023,22.0794,24.13561377,21.5139,24.13561377,2118264536,8192388104
14/02/2023,21.03883836,22.43206435,20.72202153,22.0686,2084026684,7795313394
13/02/2023,21.7915,21.7915,19.9807,21.07510766,2121429608,7546125735
12/02/2023,21.0976,22.57392877,20.70460619,21.72073746,955416274.9,7757389271
11/02/2023,20.2536,21.1255,20.1841,21.1176,1311651539,7444268234
10/02/2023,20.59081805,21.1554,19.9684,20.2727,2113027361,7548269626
09/02/2023,23.3845,23.3845,20.46918853,20.55943891,1724461109,8182806502
08/02/2023,23.9779,24.1424,22.9503,23.3818,1656263163,8574235628
07/02/2023,22.848,24.0474,22.5963,23.9969,1346450404,8455375787
06/02/2023,23.64128729,23.70726391,22.7589,22.8919,1376451779,8476092728
05/02/2023,24.5584,24.5584,23.2656,23.67127878,1095666487,8728305161
04/02/2023,24.795,24.9767,24.37506614,24.5521,1267666546,8958469313
03/02/2023,24.3439,25.0794,24.13680569,24.7832,2123581595,8905872480
02/02/2023,25.0939,26.09717871,24.3626,24.375,2918612153,9119921723
01/02/2023,24.0609,25.1969,22.7382,25.0935,1730629605,8631144723
31/01/2023,24.052,24.44709066,23.63578006,24.1044,2145067949,8721027982
30/01/2023,26.1924,26.3128,23.58098991,24.0184,3084710879,8965941800
29/01/2023,24.1662,26.6406,23.8169,26.2457,1670905178,9046816886
28/01/2023,24.5513,25.0537,23.9616,24.1211,1717725699,8829831458
27/01/2023,24.4659,24.8836482,23.5253,24.5253,1902610310,8733898606
26/01/2023,24.61788173,25.18,24.0486,24.4368,2894638256,8922980149
25/01/2023,22.91563399,25.2508,22.3699,24.6437,2528640628,8520026044
24/01/2023,24.3527,25.1314,22.7874,22.92110861,1940687021,8878453912
23/01/2023,24.2225,24.9052,24.0097,24.3938,2090227889,8876931811
22/01/2023,24.6213,25.3976,23.7558,24.2603,2739124059,9040760146
21/01/2023,25.5415,26.32750342,24.6129,24.6571,4430287666,9162582734
20/01/2023,21.43092157,25.673,20.9782,25.5575,1919239323,7975654477
19/01/2023,20.87209117,21.74134518,20.5883285,21.40495561,2952752303,7709170503
18/01/2023,22.86712771,23.4754,20.71294144,20.85430369,2476567642,8132638992
17/01/2023,23.59369362,23.87689925,22.9218527,22.9218527,2790695044,8492157433
16/01/2023,22.89864156,24.6593,22.6042,23.59718927,3448337958,8501076845
15/01/2023,24.2767,24.8059,22.0885,22.84240521,5139476674,8367915160
14/01/2023,18.27595589,24.55165894,18.27595589,24.3714,6238121587,8172979777
13/01/2023,16.596,18.53075061,16.3591,18.28499113,2134865255,6139901055
12/01/2023,16.33617122,16.83152437,15.7388,16.6024,1925538881,5913880003
11/01/2023,16.21370641,16.48089817,15.36643678,16.34418264,1640225962,5784713235
10/01/2023,16.27488138,16.6254,15.7153,16.22722717,2935331076,5871205741
09/01/2023,14.46264432,17.2994832,14.34471898,16.29539474,3440978568,5904807452
08/01/2023,13.10035495,14.00771116,12.9208,14.00771116,878068059.7,4898334330
07/01/2023,13.51263095,13.51263095,13.0521,13.1028,1014631317,4802693587
06/01/2023,13.4179,13.54375965,12.75388287,13.52724858,1536653651,4784244705
05/01/2023,13.42615981,13.7381,12.9666,13.4237,2159998792,4811852532
04/01/2023,13.3399,14.0888,12.8734,13.42070102,4136615232,4899654820
03/01/2023,11.27360397,13.47241343,11.07832595,13.35190208,2180517184,4407272291
02/01/2023,9.983122002,11.35744394,9.843420614,11.25064189,1108864458,3910657282
01/01/2023,9.952850129,10.05443586,9.705558643,9.954291785,738201996.4,3591890016
31/12/2022,9.875223665,10.1411,9.670669789,9.951780323,1554625498,3593554775
30/12/2022,9.614819314,10.0085047,9.02442236,9.858421227,3251107932,3462950187
29/12/2022,9.754603065,9.820563677,8.115817282,9.581429352,1148370962,3401464266
28/12/2022,11.09298081,11.11209487,9.522651299,9.763648316,888603445.6,3689360933
27/12/2022,11.33460448,11.38856735,10.7491,11.08823329,389490513.2,4030429151
26/12/2022,11.38213004,11.4468,11.1291121,11.2969392,265343397.6,4096482216
25/12/2022,11.4386,11.52982414,11.2746,11.37920776,324351767,4139021472
24/12/2022,11.78468818,11.78468818,11.2159,11.4411,395856319.7,4157362288
23/12/2022,11.81295307,12.0915,11.73149307,11.78224025,400443953.3,4311673866
22/12/2022,12.1367459,12.17180077,11.7123,11.79141662,298265948.9,4351924323
21/12/2022,12.26990865,12.2779664,11.9092,12.10146712,323042459.3,4379302859
20/12/2022,11.93791349,12.4424,11.86071101,12.27181393,459761767.3,4452039542
19/12/2022,12.38514062,12.5690678,11.7216,11.92477123,311840613.1,4432811444
18/12/2022,12.48855573,12.57152305,12.29151528,12.43137719,279378267.1,4507574705
17/12/2022,12.26550879,12.5091577,11.9582,12.48729058,744583383.7,4461980776
16/12/2022,14.04194338,14.16268428,12.0595584,12.2395,587565823.6,4877824368
15/12/2022,14.13763249,14.4459,13.9003,14.00871318,895742381.3,5117781610
14/12/2022,13.87966356,14.87274041,13.8286,14.16019346,713156940.7,5130979896
13/12/2022,13.3168018,14.0382,12.8549,13.82409341,518204604,4871342475
12/12/2022,13.41985742,13.461086,12.94941711,13.31640978,361397057.1,4778786899
11/12/2022,13.57177069,13.78398993,13.39825034,13.42221183,174737563.3,4947133638
10/12/2022,13.58376137,13.69326958,13.55480173,13.56154347,325252316.9,4943113804
09/12/2022,13.68288755,13.9832,13.5238,13.57465018,390516511.1,4975898111
08/12/2022,13.49848632,13.7557,13.29693425,13.69542379,403150421.7,4905800311
07/12/2022,14.27856909,14.2999,13.48260093,13.52190301,502937838.6,4991744278
06/12/2022,13.82533967,14.3049,13.82448347,14.27831955,609555130,5097536189
05/12/2022,13.70416204,14.1244379,13.6273,13.82475526,490911206.8,5046569267
04/12/2022,13.2918545,13.73196891,13.2918545,13.73196891,284960112.9,4892373839
03/12/2022,13.7107,13.7329,13.25412363,13.29839171,428410325.7,4912657507
02/12/2022,13.48846781,13.7698606,13.3298,13.7066,502467632.7,4920144175
01/12/2022,14.14808117,14.14808117,13.4118,13.4547,647909739.7,4987064561
30/11/2022,13.3371,14.22873728,13.2984,14.10755563,648673404.2,4956002504
29/11/2022,13.3185,13.88449544,13.17539973,13.3534,793434388,4902176581
28/11/2022,14.1026411,14.1292,12.8399,13.31921516,916253919.6,4841750456
